asin,title,imgUrl,productURL,stars,reviews,price,isBestSeller,boughtInLastMonth,categoryName,categoryId
B07PF9ZW4N,"Creality 3D Printer HALOT MAGE, 10.3"" LCD, 8K (29.7μm) Resolution, MageArch"" Flip Lid, Third-generation Integral Light Source, Smart Air Purifier, Z-axis Dual Linear Rails 228 * 128 * 230mm",https://m.media-amazon.com/images/I/61zj8r1tUHL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07PF9ZW4N,4.3,146,299.0,False,0,3D Printers,15680
B09VNKT6BS,"Sovol SV01 Pro 3D Printer with Metal Direct Drive Extruder, CR Touch Auto Bed Levelling Sensor, 32-bit Silent Motherboard TMC2208 and Flexible Magnetic Bed, Printing Size 280 x 240 x 300 mm",https://m.media-amazon.com/images/I/71IL5x0DExL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09VNKT6BS,4.0,529,263.99,False,0,3D Printers,15680
B0B6W4FY38,"FLASHFORGE Large-Format Guider IIS 3D Printer, Wireless 3D Printing and Cloud Printing, 120℃ Heatable Platform, Support PLA, ABS, PVA, Hips, PETG, Wood-Filled, Electric, Flexible, TPE (Guider 2S)",https://m.media-amazon.com/images/I/51629RSlo6L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0B6W4FY38,3.0,4,1299.0,False,0,3D Printers,15680
B0CGVCDBNC,"Creality CR-10 SE 3D Printer 600mm/s High-Speed Printing 3D Printers CR Touch Auto Leveling with Sprite Direct Extruder, Dual Z-axis & Y-axis Auto-Load Filament, Printing Size 300 * 300 * 400MM",https://m.media-amazon.com/images/I/61OMlae1esL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CGVCDBNC,0.0,0,459.0,False,0,3D Printers,15680
B0C7QX235S,Creality Official Resin Printer Enclosure for Halot-One/One Plus/One Pro/Sky/Lite/Mage/Mage Pro/RAY/LD-006 / Elegoo Mars Series/Anycubic Photon Mono Series Resin 3D Printers,https://m.media-amazon.com/images/I/715NPDXzXUL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C7QX235S,0.0,0,159.77,False,0,3D Printers,15680
B09QKPYXQ8,Ender-3 S1 CV-LaserModule 24V 1.6W Engraving Laser Modules Simple Installation Safety Protection Precise Focusing Soot Absorption for Ender 3 S1 Plus Ender 3 S1 Pro Ender 3 S1 3D Printer,https://m.media-amazon.com/images/I/611rNlnrIiL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09QKPYXQ8,3.2,2,82.86,False,0,3D Printers,15680
B0BN9913SM,FLSUN Official V400 Delta 3D Printer Fast 600mm/s Max Speed 25000mm/s² Save 85% of Printing Time with Full Metal Direct Extruder 7- inch Touchscreen FDM 3D Printers Printing Size φ300mm*410mm,https://m.media-amazon.com/images/I/61wMlx9TWJL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BN9913SM,4.1,20,1249.2,False,0,3D Printers,15680
B0CFV413P1,Vertical remote control wall painting machine outdoor indoor 3D background wall printer,https://m.media-amazon.com/images/I/51DnzzniYjL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CFV413P1,0.0,0,8635.0,False,0,3D Printers,15680
B07JC93LKS,"3D Printer Creality Ender 3, High-Precision Printing, Stable Power Supply, Rapid Heating Up, Quality Extruder, Resume Printing, High-standard V-profile, Printing Size: 220x220x250mm",https://m.media-amazon.com/images/I/51DKGMxlB8L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07JC93LKS,4.4,309,165.0,False,0,3D Printers,15680
B09JLH5ZH8,"FLASHFORGE Adventurer 4 3D Printer Leveling-Free with Quick Removable Hign Temp Nozzle, Flexible CNC Platform and HEPA13 Air Filter,Resume Printing,Print Size:220 * 200 * 250mm (8.67 * 7.87 * 9.84IN)",https://m.media-amazon.com/images/I/61S5JgddZOL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09JLH5ZH8,3.1,25,599.0,False,0,3D Printers,15680
