name,category_id
root,0
Appliances,1
Dishwashers,24
Built-In Dishwashers,29
Countertop Dishwashers,30
Portable Dishwashers,31
Laundry Appliances,25
Washers & Dryers,32
Clothes Dryers,33
Clothes Washing Machines,34
Combination Washers & Dryers,35
Portable Clothes Washing Machines,36
Portable Dryers,37
Stacked Washer & Dryer Units,38
Parts & Accessories,26
Beverage Refrigerator Replacement Parts,39
Clothes Dryer Replacement Parts,40
Clothes Dryer Replacement Vents,49
Dryer Replacement Parts,50
Cooktop Parts & Accessories,41
Dishwasher Parts & Accessories,42
Dishwasher Replacement Hoses,51
Freezer Parts & Accessories,43
Humidifier Parts & Accessories,44
Humidifier Humidity Meters,52
Range Hood Parts & Accessories,45
Range Hood Filters,53
Range Parts & Accessories,46
Range Accessories,54
Range Replacement Drip Pans,55
Refrigerator Parts & Accessories,47
In-Refrigerator Water Filters,56
Refrigerator Egg Trays,57
Refrigerator Replacement Handles,58
Refrigerator Replacement Ice Makers,59
Refrigerator Replacement Shelves,60
Washer Parts & Accessories,48
Clothes Washer Replacement Doors,61
Clothes Washer Replacement Drain Pumps,62
"Ranges, Ovens & Cooktops",27
Cooktops,63
Range Hoods,64
Ranges,65
Freestanding Ranges,67
Slide-In Ranges,68
Wall Ovens,66
Combination Microwave & Wall Ovens,69
Double Wall Ovens,70
Single Wall Ovens,71
"Refrigerators, Freezers & Ice Makers",28
Beverage Refrigerators,72
Freezers,73
Chest Freezers,76
Upright Freezers,77
Ice Makers,74
Refrigerators,75
"Arts, Crafts & Sewing",2
"Arts, Crafts & Sewing Storage",78
Art & Poster Transport Tubes,90
Art Portfolios,91
Art Storage Cabinets,92
Art Tool & Sketch Storage Boxes,93
Arts & Crafts Drying & Print Racks,94
Arts & Crafts Storage Boxes & Organizers,95
Beading Storage,96
Craft & Sewing Supplies Storage,97
Embroidery Storage,100
Scrapbooking Storage Products,101
Sewing Storage,102
Yarn Storage,103
Paint Brush Organizers & Holders,98
"Pen, Pencil & Marker Cases",99
Beading & Jewelry Making,79
Beading Supplies,104
Beading Cords & Threads,119
Beading Kits,120
"Beading Mats, Trays & Boards",121
Fuse & Perler Beads,122
Jewelry Making Bead Looms,123
Beads & Bead Assortments,105
Fusible Glass Supplies,106
Jewelry Casting Supplies,107
Jewelry Casting Tools,124
Jewelry Metal Casting Molds,125
Jewelry Resin Casting Molds,126
Metal Casting Machines,127
Jewelry Making Charms,108
Jewelry Making Display & Packaging Supplies,109
Jewelry Making Engraving Machines & Tools,110
Jewelry Making Findings,111
Earring Backs & Findings,128
Jewelry Clasps,129
Jewelry Making Chains,130
