ASIN,star_rating,ratings,featureBullets,Overview
B07MLLXYKV,False,False,True,True
B08HHRBVVP,False,False,True,True
B08HWZK311,False,False,True,True
B0DGTN6JWB,False,False,True,True
B08Q2V393N,False,False,True,True
B08RSBM4XR,False,False,True,True
B07ZFNM3P4,False,False,True,True
B094NPK5Q3,False,False,False,True
B0BZSN4CM4,False,False,True,True
B08Q46TKM4,False,False,False,True
B0BV328PVS,False,False,True,True
B0BNN3PNFD,False,False,True,True
B097RF3796,False,False,True,True
B0C6V3LF33,False,False,True,True
B08JV6HS5C,False,False,True,True
B0CK5JC176,False,False,True,True
B0D1KVMSNC,False,False,True,True
B08S6W5TDS,False,False,True,True
B07DZ1PTRD,False,False,True,True
B0CSXN5LDZ,False,False,True,True
B08XK4SJM7,False,False,True,True
B09WZ2451D,False,False,True,True
B0922QT8YK,False,False,True,True
B07ZGYT697,False,False,True,True
B0DJ5VKCHC,True,True,True,True
B0DK57XGS1,True,True,True,True
B0B3Y32KR6,False,False,False,True
B0C85PJNZH,False,False,True,True
B01N128OAO,False,False,True,True
B07CT3J9S4,False,False,True,True
B09BB6LLB3,False,False,True,True
B0D1MSPQHD,False,False,True,True
B09H3LLT36,False,False,True,True
B07B51QM27,False,False,True,True
B09XBDLJTG,False,False,True,True
B0BZCX3WZP,False,False,True,True
B0C576M6KW,False,False,True,True
B0D6RNFCYH,False,False,True,True
B08M9VPCF1,False,False,True,True
B07GR6M476,False,False,True,True
B094NYLQNZ,False,False,True,True
B08PFYCNHF,False,False,True,True
B0BN8QBKFM,False,False,True,True
B0CQYZD3WQ,False,False,True,True
B0D8VS5LS8,False,False,True,True
B0CQZ14J7D,False,False,True,True
B08VSDPBGL,False,False,True,True
B0B1B8M3NH,False,False,True,True
B096FNVJ1L,False,False,True,True
B0C82B8SN8,False,False,True,True
B096RQQF68,False,False,True,True
B09HK63W1R,False,False,True,True
B0CDWND4N5,False,False,True,True
B0CNRVJVFM,False,False,True,True
B0CD7ZFSK3,False,False,True,True
B07QHWBVFV,False,False,True,True
B093LPBL3V,False,False,True,True
B08M9PRR53,False,False,True,True
B0D1KP2V3M,False,False,True,True
B0C3DBV6Y2,False,False,False,True
B0D39Z3H4L,True,True,True,True
B0CW654GCX,False,False,True,True
B0DJRS7Y81,True,True,True,True
B0C1VSSZB3,False,False,False,True
B00IHRL83G,False,False,False,True
B00IHRL5OI,False,False,False,True
B0B8261JB1,False,False,False,True
B08L1SB1HJ,False,False,False,True
B0C1VT4TRQ,False,False,False,True
B0C1VSWWF4,False,False,False,True
B08K461NW5,False,False,False,True
B0DHVQ24S2,True,True,False,False
B079FMW6PD,False,False,False,True
B0DHTXX79H,True,True,False,False
B0DHLBYY62,True,True,False,False
B075R7GVW2,False,False,False,True
B0DJM53SMN,True,True,False,False
B0BMLVJLFH,True,True,False,False
B0DJ986DN6,True,True,False,False
B0D4QV9RH4,True,True,False,False
B0CQK7R2SM,False,False,False,True
B0CH35RZPW,False,False,False,True
B0CQK9BRZF,False,False,False,True
B08D8J88X3,False,False,False,True
B0CM9QXBFC,False,False,False,True
B0CMT4RRD2,False,False,False,True
B0CNRVD5B6,False,False,False,True
B0C3D7VYGH,False,False,False,True
B0CCW7JVJZ,False,False,False,True
B0CQG83Q12,False,False,False,True
B083F3FC31,False,False,False,True
B091N4L33K,False,False,True,True
B0D45QL72G,False,False,False,True
B0BLC3H5MT,False,False,False,True
B08D8HVTBN,False,False,False,True
B00ADZUNYK,False,False,False,True
B0BCWY6QR4,False,False,False,True
B08LTGVND9,False,False,False,True
B08PVYDSX1,False,False,False,True
B0C77VNZ5D,False,False,False,True
B0D7SGG9WS,False,False,False,True
B08LTGRJSV,False,False,False,True
B0D9K89DSS,False,False,False,True
B0DFM4KWKH,False,False,False,True
B085DKQZ7W,False,False,False,True
B07QVDF5M6,False,False,False,True
B0D9Q8FZFC,False,False,True,False
B0DDKQSP75,True,True,False,False
B0CBV1WDM1,False,False,False,False
B0CF5WMVLW,False,False,False,True
B0BF585KKH,False,False,False,True
B0B1B43CXC,False,False,False,True
B0BB9PLSG2,False,False,False,True
B0964B9937,False,False,False,True
B09TBB9C88,False,False,False,True
B07PB51DWK,False,False,False,True
B07657D183,False,False,False,True
B0CHK15D1G,False,False,False,True
B09BCK3WVZ,False,False,False,True
B07TV7BC7X,False,False,False,True
B0DB1SV4LL,False,False,False,True
B0CCYNKZY5,False,False,False,True
B0D2J33JJZ,False,False,False,True
B0CTKLWMSP,False,False,False,True
B0CPVNTZ4K,False,False,False,True
B0D573FBK9,False,False,False,True
B0BMLQ1RHP,False,False,False,True
B0C6KY1RCL,False,False,False,True
B0D4V583L5,False,False,False,True
B0D6Z1YPTZ,False,False,False,True
B0BKZMHP48,False,False,False,True
B074Y7KQD1,False,False,False,True
B0D49SCYDC,True,True,False,True
B09VDCVQH4,False,False,False,True
B083F2X9YS,False,False,False,True
B0D5CY745L,False,False,False,True
B0CG9PV4DP,False,False,False,False
B0C62J9F77,False,False,False,True
B0C62H76QN,False,False,False,True
B00VFJWGCA,False,False,False,False
B0BR1RCZQ5,False,False,False,True
B09X6TVN7Q,False,False,False,True
B082HSYW8P,False,False,False,True
B07M8S4NNR,False,False,False,False
B0D78TX9SS,True,True,False,False
B0C62J1GKY,False,False,False,True
B0C62JN1FR,False,False,False,True
B0C62KL9TC,False,False,False,False
B079SY7MYW,False,False,False,True
B075B7WDJY,False,False,False,True
B07MBMQ5FC,False,False,False,True
B09X5H8JXK,False,False,False,True
B008YD53KC,False,False,False,True
B075HH4KQ8,False,False,False,False
B0BYVX4MWW,False,False,False,False
