ASIN,bookDescription
B09X5WGSVG,"Lavender oil is an essential oil derived from the lavender plant. applied to the skin, & breathed in through aromatherapy."
0143453580,"What if you ran away from your life today?

Twenty years later, three people are looking for you.

One is dying to meet you again.

The other wishes you had never met them.

The third wishes they could have met you at least once.

You are one person. Aren't you? But you are not the same person to each of them.

Find the answers about your own life in this story about searching for love and discovering yourself. Join a broken but rising YouTube star Alara, a struggling but hopeful stand-up comedian Aarav, and a zany but zen beach shack owner Ricky. Together, take the journey to seek the truth behind the famous singer Elisha's disappearance somewhere by the deep sea in Goa.

Will you be able to find Elisha? Or will you end up finding yourself?"
014345367X,"ORDER NOW AND GET A SIGNED COPY FROM THE AUTHOR OF YOU ONLY LIVE ONCE

'A story about finding hope in the darkest of times that will brighten your day!'

If you find someone's diary, would you dare open it?

Well, if you chance upon your old diary, would you dare read through your past?

Iti is forced to move back to her hometown of Mussoorie amid worldwide lockdown to work on her first movie script. Iti's chance encounter with her first love, Nishit, reunion with her estranged best friend, Shelly, and nights spent reading her well-kept diary, make her best memories and worst nightmares come to life. She has always run away from her past, but now has no choice.
Will reading her diary prove to be an adventure worth taking for completing the script? Will life be the same? Ever?

Set in the COVID-19 lockdown, from the national bestselling author of On the Open Road and You Only Live Once, Where the Sun Never Sets is a riveting personal account of unforgettable childhood dreams, turbulent teenage years, complicated close relationships, human resilience, and the never-ending journey of growing up."
0143453688,"Myra wants to quit her job.
Kabir is looking to resign from the board.
Sandy just dropped out of college.

Discover yourself within these restless twenty-somethings as they stand on the cusp of making life-changing decisions. Battling their inner demons and societal taboos, they wish to live life on their own terms. Their passion brings them together and with nothing but Ramy's travel blog as their guiding star, they set out on the open road to follow what they desire.
But their journey entails a devastating personal loss, an undying fear and a host of obstacles. Will they be able to
realize their shared dream? Or will they succumb to the hardships on their road to freedom?

On the Open Road is an inspirational story of three ordinary individuals who refuse to give up on themselves."
9362619342,"About the Book:

Struggler is a fast paced modern day novel about a singer Kabir who hails from the Baul traidition of Bengal but aspires to become a name on his own. Just when five years have gone by and Kabir has not got a break in the entertainment capital MUmbai, he decides to pack up and leave. But this is when destiny turns a key. Not only does Kabir get his first singing break but he also signs a contract with the devil that gradually leads to his moral decadence. Despite being framed in a sex crime Kabir finds a rare kind of love in Sofi who is caught in an exploitative relationship at her own will. With all the odds thrown at him Kabir becomes a singing sensation on his own without the need of the gatekeepers of the entertainment industry.

About the Author:

Suhrita Das was born and weathered in Kolkata. She Co-wrote her first novel ‘All That Could Have Been’ with Mahesh Bhatt. Since then she has been under the guidance of Mr Bhatt honing her skills as a screenplay writer and director. A single mother Suhrita lives between Kolkata and Mumbai juggling all her roles. Struggler is her second self published novel. Her first novel Heera has received an overwhelming response."
1678043850,"When two Genetics scientists, Chad and Friedrich reach a dead-end in their cross-species experiment at a premier Molecular Genetics Institute in Berlin, they look to the mystical East for answers. Here, in the lap of a timeless civilization, they find a fellow seeker in historian Geeta. Together, the trio begin a thrilling odyssey of discovery, which spans continents and cultures, challenges life-long religious and scientific truths and puts their lives in grave danger. They are horrified to learn that they are mere puppets, their fate controlled by an all-seeing sinister villain, who yearns to “cleanse” the world and create a new order. As they connect the dots, they join forces with an Afghan professor, a British archaeologist and an American General. Finally, a mind-bending, unpredictable climax which stuns the world’s brightest minds…




Where do we come from? Why did the gods stop visiting us? Why did nuclear weapons exist 20,000 years ago? Were we created in a test tube?




Even as it answers many questions, it throws up new ones.Based on two years of research, The Evolution Cradle is an unputdownable book, which blurs the lines between reality and imagination, ancient and modern, fact and faith. Breathless in its pace, the rollercoaster narrative is packed with non-stop action, escapes and chases, thrills and chills, and edge-of-the-seat twists and turns. It continues to haunt the reader long after the last page is turned."
1786583232,"Hidden in Jimbocho, Tokyo is a booklover's paradise. On a quiet corner in an old wooden building lies a shop filled with hundreds of second-hand books.

Twenty-five-year-old Takako has never liked reading, although the Morisaki bookshop has been in her family for three generations. It is the pride and joy of her uncle Satoru, who has devoted his life to the bookshop since his wife Momoko left him five years earlier.

When Takako's boyfriend reveals he's marrying someone else, she reluctantly accepts her eccentric uncle's offer to live rent-free in the tiny room above the shop.Hoping to nurse her broken heart in peace, Takako is surprised to encounter new worlds within the stacks of books lining the Morisaki bookshop

.

As summer fades to autumn, Satoru and Takako discover they have more in common than they first thought. The Morisaki bookshop has something to teach them both about life, love, and the healing pow er of books."
1409181634,"WITH OVER THREE MILLION COPIES SOLD, read the Sunday Times and No.1 New York Times bestselling, record-breaking thriller that everyone is talking about - soon to be a major film.
'The perfect thriller' AJ FINN
'Terrific' - THE TIMES Crime Book of the Month
'Smart, sophisticated suspense' - LEE CHILD
'Compelling' - OBSERVER
'Absolutely brilliant' - STEPHEN FRY
'A totally original psychological mystery' - DAVID BALDACCI
'One of the best thrillers I've read this year' - CARA HUNTER
'The pace and finesse of a master' - BBC CULTURE
Alicia Berenson lived a seemingly perfect life until one day six years ago.When she shot her husband in the head five times.
Since then she hasn't spoken a single word.It's time to find out why.
THE SILENT PATIENT is the gripping must-read thriller of the year - perfect for fans of THE FAMILY UPSTAIRS by Lisa Jewell, BLOOD ORANGE by Harriet Tyce and PLAYING NICE by JP Delaney.
"
9386215969,"‘An epic story ... poignantly told’ Hindustan Times ‘Radiant ... A charming and remarkable book’ Houston Chronicle ‘As bright a gem as the Hope Diamond’Los Angeles Times ‘A daring novel’ Vogue IndiaBe taken back to a time that is half history, half myth, and wholly magical …First published in 2008, Chitra Banerjee Divakaruni's The Palace of Illusions has received wide acclaim for giving a woman's take on the timeless tale that is the Mahabharata. Narrated by Panchaali, wife of the five Pandava brothers, the novel traces her life from fiery birth and lonely childhood, where her beloved brother is her only true companion; through her complicated friendship with the enigmatic Krishna; to marriage, motherhood and her secret attraction to the mysterious man who is her husbands’ most dangerous enemy. This tenth anniversary edition, complete with a new author’s note, celebrates once again a remarkable and deeply human story about a woman born into a man’s world."
9355201060,"How significant can a picture of a woman in fur be when you try to hold it dear as the only resemblance left to human life? When Gregor Samsa wakes up in his bed, he is aghast to find himself transformed into a giant bug. He is now to spend the rest of his life in that state. Life to him becomes a struggle to align his lingering humanity and his transformed physicality. Thus begins Metamorphosis. Delving into absurdity of life, the disconnect between the mind and body and limits of sympathy, the book has been cited as one of the seminal works of twentieth-century fiction."
